Reference Type,Author,Year,Chapter Title,Book Editor,Book Title,Place Published,Publisher,Volume,Number of Volumes,Page Range,Chapter Number,Edition,Translator,ISBN,DOI,Reprint Edition,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book Chapter,,2010,Definition of Freedom by the Jesuits,"van Asselt, William J.|Bac, J. Martin|Velde, Roelf T. te",Reformed Thought on Freedom: The Concept of Free Choice in Early Modern Reformed Theology,"Grand Rapids, MI",Baker Academic,,,154–157,,,,9780801035210|080103521X,,,http://worldcat.org/oclc/263988383,,,16th century|17th century,Philosophy -- Ethics|Theology -- Soteriology|Philosophy -- Psychology,Europe,"Molina, Luis de, 1535–1600|Suárez, Francisco, 1548–1617",,,,,,English,KEEP|REVIEW
Book Chapter,,2012,"A Jesuit Missionary Recalls Micmac Hunting Rituals, 1691","Merchant, Carolyn",Major Problems in American Environmental History: Documents and Essays,Boston,Wadsworth,,,,,3rd,,9780495912422|0495912425,,,http://www.worldcat.org/oclc/770594491,,,17th century,Foreign Missions -- Ethnography,North America -- USA,,,,,,,English,KEEP|REVIEW
Book Chapter,,2014,Gerald Manley Hopkins,"Augustyn, Adam",Authors of the 19th Century,New York,Britannica Educational Publishing in association with Rosen Educational Services,,,,,,,9781622750061|1622750063,,,,,,19th century,Literature -- Poetry|Biography,Europe -- UK -- England,"Hopkins, Gerard Manley, 1844–1889",,,,,,English,CULL|REVIEW
Book Chapter,,2015,Poèmes de Gerard Manley Hopkins: Les Fiches de lecture d'Universalis,,Encyclopaedia Universalis,n.p.,Primento Digital,,,,,,,9782852291805|2852291800,,,,,,19th century,Literature -- Poetry,,"Hopkins, Gerard Manley, 1844–1889",,Excerpt from an online encyclopedia.,,,,French,CULL|REVIEW
Book Chapter,,2015,Impulse von Papst Franziskus zu ekklesiologischen Fragestellungen,"Keppeler, Cornelius|Pech, Justinus C.",Zeitgenössische Kirchenverständnisse: Acht ekklesiologische Porträts,Heiligenkreuz im Wienerwald,Be&Be-Verlag,"2: Erweiterte Auflage, mit einem Geleitwort von Kurt Cardinal Koch",,261–78,,,,9783902694935|3902694939,,,http://worldcat.org/oclc/912952979,,,21st century,Writings -- Interviews -- Faith|Theology -- Ecclesiology|Papacy,Europe -- Vatican City,"Francis, Pope, 1936–",,"Das Interview (Cornelius Keppeler), pp. 261–66, ""Das Apostolische Screiben (Justinus C. Pech OCist),"" pp. 267–78.",,,,German,CULL|REVIEW
Book Chapter,"Ableniene, Regina",2012,Religiniai medaliukai su jezuitu sventuju atvaizdais,"Markauskaitė, Neringa","Jėzuitai Lietuvoje (1608 - 2008): Gyvenimas, veikla, paveldas [Jesuits in Lithuania (1608 - 2008): Life, Work, Heritage]",Vilnius,Lietuvos Nacionalinis Muziejus,,,285–290,,,,9786098039177|6098039178,,,http://www.worldcat.org/oclc/812243623,,,17th century|18th century|19th century|20th century,History -- Regional,Europe -- Lithuania,,,,,,,Lithuanian,CULL|REVIEW
Book Chapter,"Abreu, Savio",2007,Popular Religiosity and Syncretic Practices in Goa: Western and Eastern Influences,"Acharya, Kala|Mata, Carlos",St. Francis Xavier: His Times and Legacy,Mumbai,Somaiya,,,181–198,,,,9788170392651|8170392659,,,http://worldcat.org/oclc/309702727,,,16th century|17th century,Foreign Missions -- Spirituality -- Devotion|Foreign Missions -- Inculturation|Foreign Missions -- History -- Local|Saints and Blessed,Asia -- India -- Goa,"Francis Xavier, Saint, 1506–1552",,,,,,English,CULL|REVIEW
Book Chapter,"Abreu, Savio",2012,Contribution of Jesuits to Higher Education in Goa: Historical Background of Higher Education of the Jesuits,"Arellano, Ignacio|Mata Induráin, Carlos",St. Francis Xavier and the Jesuit Missionary Enterprise. Assimilations between Cultures / San Francisco Javier y la empresa misionera jesuita. Asimilaciones entre culturas,Pamplona,Servicio de Publicaciones de la Universidad de Navarra,,,9–21,,,,978-84-8081-338-9,,,,http://dadun.unav.edu/handle/10171/27918,,20th century,Education -- Universities,Asia -- India -- Goa,"Francis Xavier, Saint, 1506–1552",,,,,,English,KEEP|REVIEW
Book Chapter,"Acharya, Kala",2007,The Spiritual Life of St. Francis in the Light of the Spiritual Exercises: A Comparative Study of the Christian and the Hindu Tradition,"Acharya, Kala|Mata, Carlos",St. Francis Xavier: His Times and Legacy,Mumbai,Somaiya,,,15–28,,,,9788170392651|8170392659,,,http://worldcat.org/oclc/309702727,,,16th century|17th century,Saints and Blessed|Spirituality -- Biography|Ignatius of Loyola -- Spiritual Exercises,Asia -- India,"Francis Xavier, Saint, 1506–1552",,,,,,English,CULL|REVIEW
Book Chapter,"Acosta, Antonio",2007,Problemas en la expansión misionera jesuita a comienzos del siglo XVII? Gerónimo Pallas en el Perú y su 'Misión a las Indias',"Laurencich Minelli, Laura|Numhauser, Paulina",Sublevando el virreinato: Documentos contestatarios a la historiografía tradicional del Perú colonial,Quito,Abya-Yala,,,37–72,,,,9789978227060|9978227067,,,http://worldcat.org/oclc/233267765,,,17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Primary Sources|Foreign Missions -- Biography,South America -- Peru,,,,,,,Spanish,CULL|REVIEW
Book Chapter,"Ács, Pál",2007,Historischer Skeptizismus und Frömmigkeit. Die Revision protestantischer Geschichtsvorstellungen in den Predigten des ungarischen Jesuiten Péter Pázmány,"Ohlidal, Anna|Samerski, Stefan",Jesuitische Frümmigkeitskulturen: konfessionelle Interaktion in Ostmitteleuropa 1570–1700,Stuttgart,Franz Steiner,,,279–294,,,,9783515089326|3515089322,,,http://worldcat.org/oclc/79447540,,,17th century,Ministries -- Preaching|Writings -- Sermons|Controversies -- Protestantism|Historiography|Philosophy -- History,Europe -- Hungary,"Pázmány, Péter, 1570–1637",,,,,,German,CULL|REVIEW
Book Chapter,"Adams, Katherine H.",2016,Jesuit Rhetoric and Teaching of Professional Discourse in America,"Gannett, Cinthia|Brereton, John",Traditions of Eloquence: The Jesuits and Modern Rhetorical Studies,New York,Fordham University Press,,,175–187,10,,,9780823264520,,,www.worldcat.org//oclc/917131567,,,18th century|19th century|20th century|21st century,Arts -- Rhetoric|Literature -- History|Identity|History -- Regional,North America -- USA,,,,,,,English,KEEP|REVIEW
Book Chapter,"Adde, Amélie",2012,Apuntes sobre la métrica en el 'Coloquio de la conquista espiritual del Japón hecha por San Francisco Javier',"Arellano, Ignacio|Mata Induráin, Carlos",St Francis Xavier and the Jesuit Missionary Enterprise. Assimilations between Cultures / San Francisco Javier y la empresa misionera jesuita. Asimilaciones entre culturas,Pamplona,Servicio de Publicaciones de la Universidad de Navarra,,,23–31,,,,9788480813389,,,,,,17th century,Foreign Missions -- Sources,Asia -- Japan,"Francis Xavier, Saint, 1506–1552",,,,,,Spanish,CULL|REVIEW
Book Chapter,"Adde, Amélie",2013,L'enfance et la conversion de Saint François-Xavier: Un homme ordinaire?,"Adde, Amélie","Mondes parallèles dans les espaces coloniaux: XVIe-XXIe siècles; Regards croisés dans le monde indiano-océaniqu; histoire, patrimoine, fiction",Paris,l'Harmattan,,,83–93,,,,9782336006635,,,,,,16th century,Biography,,"Francis Xavier, Saint, 1506–1552",,,,,,French,CULL|REVIEW
Book Chapter,"Adde, Amélie",2013,Le Christ et le crabe: Réflexions sur la mythographie de François Xavier,"Adde, Amélie","Mondes parallèles dans les espaces coloniaux: XVIe-XXIe siècles ; Regards croisés dans le monde indiano-océanique: histoire, patrimoine, fiction",Paris,l'Harmattan,,,307–324,,,,9782336006635,,,,,,16th century,Foreign Missions -- Historiography|Biography,Asia,"Francis Xavier, Saint, 1506–1552",,,,,,French,CULL|REVIEW
Book Chapter,"Agmon, Danna",2014,"Conflicts in the Context of Conversion: French Jesuits and Tamil Religious Intermediaries in Madurai, India","Amaladass, Anand|Županov, Ines G.",Intercultural Encounter and the Jesuit Mission in South Asia (16th–18th Centuries),Bangalore,Asian Trading Corporation,,,179–198,6,,,9788170866909|8170866901,,,www.worldcat.org/oclc/892788194,https://www.academia.edu/8287434/Conflicts_in_the_Context_of_Conversion_French_Jesuits_and_Tamil_Religious_Intermediaries_in_Madurai_India,,17th century|18th century,Foreign Missions -- Evangelization -- Strategies|Foreign Missions -- Interreligious Dialogue|Foreign Missions -- Conversion,Asia -- India -- Tamil Nadu -- Madurai,"Bouchet, Jean Venant, 1655–1732","In the late seventeenth century, French Jesuits arrived in India and joined their Portuguese, Spanish and Italian brethren in an attempt to claim the subcontinent for Christ. Assisting them in this effrt were Indian catechists—local Christians who were employed as interpreters and religious intermediaries. This study examines in detail a catechist rebellion that took place in Madurai in 1700, when three Tamil catechists approached the local ruler and demanded that their spiritual leader and employer, the French Jesuit Jean Venant Bouchet, be expelled from the region. This detailed account of the catechist rebellion, and an examination of its subsequent narration in the collection of Jesuit letters published in France as Lettres édifiantes et curieuses, reveals the complex relationship between the Jesuit missionaries and the native converts they employed. The catechist rebellion demonstrates the multi-layered and sometimes contradictory expectations to which the missionaries held their catechists. Although catechists are mentioned in the Jesuit letters only in passing, and then in mostly positive terms, this work argues that the relationship between Jesuit sand catechists should be understood as both central to the Jesuit experience in India, and as one in which the missionaries exhibited a muted anger toward the catechists. Therefore, the catechist rebellion in Madurai should not be understood as a rupture, but rather as a an extreme instantiation of the tensions and conflicts common to Jesuit-catechist relations.",,,,,English,KEEP|REVIEW
Book Chapter,"Agonga, Aquinata",2015,Hoping against All Hope: The Survival of the Jesuits in Southern Africa (1875–1900),"Maryks, Robert A.|Wright, Jonathan","Jesuit Survival and Restoration: A Global History, 1773–1900",Leiden; Boston,Brill,,,467–481,27,,,9789004282384|9789004283879,10.1163/9789004283879_029,,www.worldcat.org/oclc/889167553,http://booksandjournals.brillonline.com/content/books/10.1163/9789004283879_029,,19th century,Foreign Missions -- History -- Regional,Africa,,,,,,,English,KEEP|REVIEW
Book Chapter,"Agulld, Carlos",2007,The Health Conditions during St. Francis Xavier's Trip to Goa: Special Focus on Scurvy,"Acharya, Kala|Mata, Carlos",St. Francis Xavier: His Times and Legacy,Mumbai,Somaiya,,,199–216,,,,9788170392651|8170392659,,,http://worldcat.org/oclc/309702727,,,16th century|17th century,Foreign Missions -- Biography|Foreign Missions -- Travel|Foreign Missions -- Medicine,Asia -- India -- Goa,"Francis Xavier, Saint, 1506–1552",,,,,,English,CULL|REVIEW
Book Chapter,"Aichele, Alexander",2014,The Real Possibility of Freedom: Luis de Molina's Theory of Absolute Willpower in Concordia I,"Kaufmann, Matthias|Aichele, Alexander",A Companion to Luis de Molina,Leiden,Brill,,,3–54,1,,,9789004228238|9004228233|9789004262188,10.1163/9789004262188_002,,,http://booksandjournals.brillonline.com/content/books/b9789004262188_002,,16th century,Philosophy -- Ethics|Theology -- Knowledge -- Human,Europe -- Spain|Europe -- Portugal,"Molina, Luis de, 1535–1600",,,,,,English,CULL|REVIEW
Book Chapter,"Aichele, Alexander|Kaufmann, Matthias",2014,Introduction,"Kaufmann, Matthias|Aichele, Alexander",A Companion to Luis de Molina,Leiden,Brill,,,xiii–xxxviii,,,,9789004228238|9004228233|9789004262188,10.1163/9789004262188_001,,,http://booksandjournals.brillonline.com/content/books/b9789004262188_001,,16th century,Theology -- Biography,Europe -- Spain|Europe -- Portugal -- Coimbra|Europe -- Portugal -- Évora,"Molina, Luis de, 1535–1600",,,,,,English,CULL|REVIEW
Book Chapter,"Åkerlund, Erik",2015,Material Causality – Dissolving a Paradox: The Actuality of Prime Matter in Suárez,"Fink, Jakob L.",Suárez on Aristotelian Causality,Leiden; Boston,Brill,,,43–63,2,,,9789004292154,10.1163/9789004292161_004,,www.worldcat.org/oclc/903248062,http://booksandjournals.brillonline.com/content/books/b789004292161_004,,16th century|17th century,Philosophy -- Scholasticism -- Causality|Philosophy -- Metaphysics,Europe -- Spain,"Suárez, Francisco, 1548–1617",,,,,,English,CULL|REVIEW
Book Chapter,"Alabrús Iglesias, Rosa María",2012,Las relaciones de dominicos y jesuitas en la Cataluña moderna,"Atienza López, Angela","Iglesia memorable: Crónicas, historias, escritos — a mayor gloria: Siglos XVI–XVIII",Madrid,Sílex,,,169–186,,,,9788477377375|8477377375,,,http://www.worldcat.org/oclc/818844115,,,16th century|17th century|18th century,Controversies -- Dominicans,Europe -- Spain -- Catalonia,,,,,,,Spanish,CULL|REVIEW
Book Chapter,"Alangaram, A.",2007,Incarnation and Avatara: A Comparative Reflection on de Nobili's Religion,"Arun, C. Joe",Interculturation of Religion: Critical Perspectives on Robert de Nobili's Mission in India,Bangalore,Asian Trading Corporation,,,68–82,,,,8170864380|9788170864387,,,http://worldcat.org/oclc/181599178,,,16th century|17th century,Foreign Missions -- Interreligious Dialogue|Foreign Missions -- Inculturation|Theology -- Christology,Asia -- India -- Madurai,"Nobili, Roberto de', 1577–1656",,"Paper presented at a seminar on ""Dialectic of religion and culture: De Nobili's Critique of Hindu Nationalism,"" organized by De Nobili Research Centre of Loyola College, Madras, India in Aug. 2005; festschrift on 400th anniversary of Roberto de Nobili's mission to Madhurai, India.|Type of Work:  Conference publication",,,,English,CULL|REVIEW
Book Chapter,"Alba-Koch, Beatriz de",2012,Clavigero y la 'Historia de la conquista de México' de Solís,"Arellano, Ignacio|Mata Induráin, Carlos",St Francis Xavier and the Jesuit Missionary Enterprise. Assimilations between Cultures / San Francisco Javier y la empresa misionera jesuita. Asimilaciones entre culturas,Pamplona,Servicio de Publicaciones de la Universidad de Navarra,,,33–45,,,,9788480813389,,,,,,18th century,Foreign Missions -- Historiography,North America -- Mexico,"Clavigero, Francesco Saverio, 1731–1787|Francis Xavier, Saint, 1506–1552",,,,,,Spanish,CULL|REVIEW
Book Chapter,"Alba-Koch, Beatriz de",2014,For Love of Patria: Locating Self and Nation in Clavijero's Rendition of the Conquest of Mexico,"Bernier, Marc André|Donato, Clorinda|Lüsebrink, Hans-Jürgen","Jesuit Accounts of the Colonial Americas: Intercultural Transfers, Intellectual Disputes, and Textualities",Toronto,University of Toronto Press,,,107–126,4,,,9781442645721|9781442663497,,,http://www.worldcat.org/oclc/865495465,,,18th century,Foreign Missions -- Reports|Foreign Missions -- Political Thought,North America -- Mexico,"Clavigero, Francesco Saverio, 1731–1787",,,,,,English,CULL|REVIEW
Book Chapter,"Albaladejo, Tomás",2012,Configuración retórica de los Ejercicios espirituales de S. Ignacio de Loyola,"Martínez Millán, José|Pizarro Llorente, Henar|Jiménez Pablo, Esther","Los jesuitas. Religión, política y educación (siglos XVI–XVIII)",Madrid,Universidad Pontificia Comillas,1,3,433–441,,,,9788484684282|8484684288|9788484684299|8484684296|9788484684305|848468430X|9788484684312|8484684318,,,http://www.worldcat.org/oclc/820121652,,,16th century,Spirituality -- Spiritual Exercises -- Rhetoric,Europe -- Spain,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book Chapter,"Albuquerque Binet, Ana Maria de",2012,O papel dos jesuítas na evolução da crença sebástica em Portugal e no Brasil,"Martínez Millán, José|Pizarro Llorente, Henar|Jiménez Pablo, Esther","Los jesuitas. Religión, política y educación (siglos XVI–XVIII)",Madrid,Universidad Pontificia Comillas,1,3,279–288,,,,9788484684282|8484684288|9788484684299|8484684296|9788484684305|848468430X|9788484684312|8484684318,,,http://www.worldcat.org/oclc/823053995,,,16th century|17th century,Politics,South America -- Brazil|Europe -- Portugal,,,,,,,Portuguese,CULL|REVIEW
Book Chapter,"Albuquerque, Maria João Nunes de",2012,Les missions pédagogiques des collèges catholiques à Saint-Pétersbourg au XVIIIe siècle,"Didier, Hugues|Larcher, Madalena",Pédagogies missionnaires. Traduire transmettre transculturer: 32e colloque du CREDIC Lisbonne 30 août-3 septembre 2011,Paris,Karthala,,,123–135,,,,9782811107765|2811107762,,,http://www.worldcat.org/oclc/809409599,,,18th century,Foreign Missions -- Education -- Colleges -- Pedagogy,Europe -- Russia -- St. Petersburg,,,,,,,French,CULL|REVIEW
Book Chapter,"Alcalá, Manuel",2007,Pedro Arrupe y la vida religiosa del postconcilio,"La Bella, Gianni","Pedro Arrupe, general de la Compañía de Jesús: Nuevas aportaciones a su biografía",Bilbao; Santander,Mensajero; Sal Terrae,,,669–710,,,,8427128320|9788427128323|9788429316896|8429316892,,,http://worldcat.org/oclc/122935570,,,20th century,Generals -- Pedro Arrupe|Religious Life|Councils -- Vatican II,,"Arrupe, Pedro, 1907–1991",,,,,,Spanish,CULL|REVIEW
Book Chapter,"Alcalá, Manuel",2007,La dimisión de Arrupe,"La Bella, Gianni","Pedro Arrupe, general de la Compañía de Jesús: Nuevas aportaciones a su biografía",Bilbao; Santander,Mensajero; Sal Terrae,,,913–956,,,,8427128320|9788427128323|9788429316896|8429316892,,,http://worldcat.org/oclc/122935570,,,20th century,Generals -- Biography,,"Arrupe, Pedro, 1907–1991",,,,,,Spanish,CULL|REVIEW
Book Chapter,"Alcalá, Manuel",2009,Pedro Arrupe et la vie religieuse post-conciliaire,"La Bella, Gianni","Pedro Arrupe, supérieur général des jésuites (1965–1983): Le gouvernement d'un prophète",Brussels,Lessius,,,307–340,,,,9782872991891|2872991891,,,http://worldcat.org/oclc/465089602,,,20th century,Generals -- Pedro Arrupe|Councils -- Vatican II|Spirituality -- Religious Life,,"Arrupe, Pedro, 1907–1991",,,,,,French,CULL|REVIEW
Book Chapter,"Alcalá, Manuel",2009,La démission d'Arrupe,"La Bella, Gianni","Pedro Arrupe, supérieur général des jésuites (1965–1983): Le gouvernement d'un prophète",Brussels,Lessius,,,397–430,,,,9782872991891|2872991891,,,http://worldcat.org/oclc/465089602,,,20th century,Generals -- Pedro Arrupe -- Biography|Generals -- Pedro Arrupe -- Resignation,,"Arrupe, Pedro, 1907–1991",,,,,,French,CULL|REVIEW
Book Chapter,"Alden, Dauril",2006,The Gang of Four and the Campaign against the Jesuits in Eighteenth-Century Brazil,"O'Malley, John W.|Bailey, Gauvin Alexander|Harris, Steven J.|Kennedy, Thomas Frank","The Jesuits II: Cultures, Sciences, and the Arts, 1540–1773",Toronto,University of Toronto Press,,,707–724,,,,9780802038616|0802038611,,,http://worldcat.org/oclc/367474071,,,18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Politics -- Anti-Jesuitism|Foreign Missions -- History -- Expulsion,South America -- Brazil,,,Essay originally presented as papers at a conference held in 2002.,,,,English,KEEP|REVIEW
Book Chapter,"Aleixandre, Marilar",2008,Discordante,"Hoyos de Asig, María|Blanco Carballo, Antonio|Corral Alonso, Enrique",En la memoria del pueblo: Homenaje a Fernando Hoyos/Na memoria do pobo: Homenaxe a Fernando Hoyos,"Santiago de Compostela, Spain",Fundación 10 de Marzo,,,215–222,,,,9788493059569|8493059560,,,http://worldcat.org/oclc/316144626,,,20th century,Foreign Missions -- Biography|History -- Regional|Political Thought,North America -- Guatemala,"Hoyos, Fernando, 1943–1982",,In Spanish and Galician.,,,,Spanish,CULL|REVIEW
Book Chapter,"Aleixo, José Carlos Brandi",2008,Pe. Antônio Vieira e sua História do futuro,"Azevedo, Sílvia Maria|Ribeiro, Vanessa Costa",Vieira: Vida e palavra,São Paolo,Pateo do Collegio,,,193–203,,,,9788515035946|8515035944,,,http://worldcat.org/oclc/316010144,,,21st century,Foreign Missions -- Writings|Foreign Missions -- Biography,South America -- Brazil,"Vieira, António, 1608-1697",,,,,,Portuguese,CULL|REVIEW
Book Chapter,"Alexandre, Jérôme",2006,"Philosophie et théologie chez K. Rahner: Deux disciplines distinctes, un horizon unique","Falque, Emmanuel|Zielinski, Agata",Philosophie et théologie en dialogue 1996–2006,Paris,L'Harmattan,,,153–160,,,,2747596354|9782747596350,,,,,,20th century,Theology|Philosophy |Biography,,"Rahner, Karl, 1904–1984",,,,,,French,CULL|REVIEW
Book Chapter,"Alfaro, Alfonso",2011,"Memoria, paisaje, horizonte: Los jesuitas y la construcción de la nación mestiza","Guerrero, Luis José|Bermeo, José Luis",Los Jesuitas y la construcción de la nación mexicana,Mexico City,Artes de México,,,12–33,12,,,9786074610871|6074610878|9786074610895|6074610894,,,http://www.worldcat.org/oclc/777410379,,,17th century|18th century,Foreign Missions -- Nationalism,North America -- Mexico,,,,,,"Memory, Landscape, Horizon: The Jesuits and the Construction of the Mestizo Nation",Spanish,CULL|REVIEW
Book Chapter,"Alfaro, Alfonso",2011,Los Ejercicios espirituales y la actividad científica de los jesuitas,"Montero Alarcón, Alma",Jesuitas: Su expresión mística y profana en la Nueva España,Toluca de Lerdo; Mexico City,Gobierno del Estado de México; Instituto Nacional de Antropología e Historia,,,,,,,9786074951042|6074951047|968484655X|9789684846555,,,http://www.worldcat.org/oclc/775668602,,,16th century|17th century|18th century,Spirituality -- Spiritual Exercises -- Influence,North America -- Mexico,,,,,,,Spanish,CULL|REVIEW
