Reference Type,Author,Year,Title,Place Published,University,Number of Pages,Thesis Type,ISBN,WorldCat URL,University URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Language,Editing Tags
Dissertation,"Alácsi, Ervin J.",2009,The Christological Thought of St. Robert Bellarmine: A Selective Study in Light of the Sixteenth Century Christological Controversies,Rome,Pontificia Università Gregoriana,404,PhD diss.,,www.worldcat.org/oclc/708329569,,,16th century,Theology -- Christology|Theology -- Scholasticism,,"Bellarmino, Roberto Francesco Romolo, Saint, 1542–1621",,|Academic Department:  Theology,,English,CULL|REVIEW
Dissertation,"Allen, Courtney",2007,A Spectrum of Acculturation: Franco-Amerindian Alliances in New France,"Norton, MA",Wheaton College,"ii, 121",BA thesis,,http://worldcat.org/oclc/162524955,,,16th century|17th century,Foreign Missions -- Acculturation|Foreign Missions -- History -- Regional,North America -- Canada -- Québec|North America -- USA -- New York,,,Departmental honors in History|Academic Department:  History,,English,CULL|REVIEW
Dissertation,"Almeida, Ana Cristina Cezar Sawaya",2010,A música no embate metodológico entre a educação jesuíta e a educação pombalina: Os acordes finais,São Paolo,University of São Paolo,,PhD diss.,,,http://www.teses.usp.br/teses/disponiveis/8/8138/tde-10082010-140457/,,16th century|17th century|18th century,History -- Regional -- Suppression|Foreign Missions -- Education -- Arts -- Music|Foreign Missions -- Controversies -- Pombalism,South America -- Brazil,"Ignatius, of Loyola, Saint, c.1491–1556","Essa tese propõe uma leitura da música, enquanto recurso didático, a partir da análise do embate metodológico entre a educação jesuíta e a educação pombalina, imediatamente após a reforma educacional proposta pelo Marquês de Pombal. O período de transição da educação no Brasil colônia foi enfocado a partir de dois métodos norteadores das diretrizes conceituais e educacionais, são eles: o Ratio studiorum, da educação jesuíta e O Verdadeiro Método de Estudar de Verney, da educação laica. Fundada por Inácio de Loyola, em 1534, a Companhia de Jesus estabeleceu prioridades pedagógicas basicamente voltadas à educação de novas gerações e à ação missionária de difusão dos valores religiosos, sendo que, nessas duas instâncias a música teve papel relevante na perspectiva da relação ensino-aprendizagem da educação religiosa. Verney, conforme relata a historiografia, teve um papel central para compreensão do movimento iluminista português, norteador da reforma pombalina, pois através de sua obra, mobilizou novos rumos para educação de Portugal e suas colônias, compatíveis com o pensamento vigente na Europa do século XVIII. Com a reforma pombalina a música foi minimizada no ambiente escolar, ocupando outros espaços e criando estilos diferenciados, tanto no que diz respeito à produção musical sacra quanto à profana. O Brasil Colônia obteve representatividade musical na Europa, pela qualidade de seus músicos-compositores mulatos, em especial os de Minas Gerais, Bahia, Pernambuco e sacros em Mogi das Cruzes.||This thesis proposes reading music as a resource for teaching, from the analysis of the methodological clash between the Jesuit Education and the Pombal Education, immediately following the educational reform proposed by the Marquis of Pombal. The educational transition in Colonial Brazil was focused on two guiding methods of conceptual and educational guidelines, they are: the Jesuit Ratio studiorum and Verney's True Method of Studying, of secular education. Founded by Ignatius of Loyola in 1534, the Society of Jesus establishes educational priorities primarily focused on education of new generations and the missionary work of infusing religious values, being that in these two instances music has played a significant role in the perspective in teaching or having a religious education. Verney, as reported by historians, played a central role in understanding Portuguese Age of Enlightenment, leading the reform of Pombal, because it was with his work that new directions for education were mobilized in Portugal and its colonies, befitting of the prevailing thought in eighteenth-century Europe. With the Pombal Reform the music was oppressed in school environments, occupying other spaces and creating differentiated styles, with regard to music production being sacred as well as profane. Colonial Brazil won musical acknowledgement in Europe for its mulatto musician-composers predicate, especially those of Minas Gerais, Bahia, Pernambucco and Mogi das Cruzez.","|Academic Department:  Social History|Advisor:  Peralta, Inez Garbuio|Albieri, Sara|Andrade, Wilma Therezinha Fernandes de|Ferreira, João Martins|Silva, Janice Theodoro da",,Portuguese,CULL|REVIEW
Dissertation,"Almeida Martins, Renata Maria de",2009,Tintas da terra tintas do reino: Arquitetura e arte nas Missões Jesuíticas do Grão-Pará (1653–1759),São Paolo,Universidad de São Paolo,,PhD diss.,,,http://www.teses.usp.br/teses/disponiveis/16/16133/tde-28042010-115311/,,17th century|18th century,Foreign Missions -- Arts -- Architecture|Foreign Missions -- History -- Regional,South America -- Brazil -- Grão-Pará,,"A presente tese estuda a produção arquitetônica e artística nas Missões Jesuíticas situadas no território do antigo Estado do Maranhão e Grão-Pará (criado em 1621), com particular destaque à região da Capitania do Grão-Pará. O arco temporal compreende os anos de 1653 (estabelecimento da Companhia de Jesus em Belém) a 1759 (expulsão dos jesuítas das colônias portuguesas). A tese enfoca, em particular, o trabalho artístico de jesuítas e índios nas oficinas que funcionaram no Colégio Jesuítico de Santo Alexandre em Belém a partir do século XVIII; procurando identificar a irradiação de modelos criados nas mesmas em direção às igrejas e capelas implantadas pelos jesuítas ao longo do Rio Amazonas e seus afluentes; sobretudo, àquelas que estavam localizadas em vilas, aldeias ou fazendas jesuíticas mais próximas a Belém (Vila de Nossa Senhora de Nazaré da Vigia, Vila Souza do Caeté, Mortigura, Gibirié, Mamaiacú, Jaguarari, entre outras). É colocada a hipótese de que Belém, como um pólo criador de modelos (também pólo econômico e comercial), alimentou toda a produção artística dos jesuítas no Grão-Pará, ao difundir seus métodos de trabalho e suas experiências técnicas. O título Tintas da Terra, Tintas do Reino sintetiza a idéia central da tese, de que o legado dos jesuítas na arquitetura e na arte nas missões do Grão-Pará é resultado do trabalho de europeus e de índios, e do emprego de suas tradições culturais.||This thesis is a study of the artistic and architectural production of the Jesuit Missions in the former State of Maranhão and Grão Pará, which was established in 1621, with a special emphasis on the Captaincy of Grão Pará. The period under study spans the time from 1653, when the Society of Jesus settled in the city of Belém, to 1759, when the Jesuits were expelled from Portuguese colonies. This thesis focuses in particular on the artistic work of both jesuits and indians carried out in the workshops at the Jesuit School of Santo Alexandre in Belém in the 18th century. The thesis seeks to trace the dissemination of the models created in such workshops throughout the Jesuit churches and chapels that were built along the borders of the River Amazon and its tributaries, especially those located in the Jesuit aldeias, vilas and fazendas closer to Belém (Vila de Nossa Senhora de Nazaré da Vigia, Vila Souza do Caeté, Mortigura, Gibirié, Mamaiacú, Jaguarari, among others). The hypothesis under investigation in this study is that Belém, in addition to being an economic and commercial hub, was also an artistic center providing models, working methods and technical expertise for the entire Jesuit artistic community in the Grão Pará. The title Tintas da Terra, Tintas do Reino summarizes the core idea underlying this thesis, namely that the Jesuit legacy in the art and architecture of the Grão Pará missions is the result of the work of europeans and indians, who in doing so resorted to their respective cultural traditions.","|Academic Department:  History and Fundamentals of Architecture and Urbanism|Advisor:  Migliaccio, Luciano|Baumgarten, Jens Michael|Marx, Murillo de Azevedo|Mota, Carlos Guilherme Santos Seroa da|Oliveira, Myriam Andrade Ribeiro de",,Portuguese,CULL|REVIEW
Dissertation,"Almeida Pereira, Silvio do Socorro de",2014,La divinizzazione come criterio ermeneutico della soteriologia drammatica di Hans Urs von Balthasar,Rome,Pontificia università gregoriana,142,PhD diss.,,http://worldcat.org/oclc/944442817,,,,Theology -- Soteriology|Theology -- Aesthetics|Theology -- Anthropology,,"von Balthasar, Hans Urs, 1905–1988",,,,Italian,CULL|REVIEW
Dissertation,"Almstedt, Bengt",2006,The Role of Bonaventure in the Later Christology of Hans Urs von Balthasar,London,University of London,,PhD diss.,,,http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.431762,,20th century,Theology -- Christology|Theology -- Sources,,"von Balthasar, Hans Urs, 1905–1988",,|Academic Department:  Heythrop College,,English,CULL|REVIEW
Dissertation,"Altarejos, Marina Obal",2007,Filipino Basic Ecclesial Community between Limitation and Self-Transcendence: A Lonergan-Based Elucidation of Fundamental Spirituality,Nijmegen,Radboud University,"iv, 336",PhD diss.,,,http://repository.ubn.ru.nl/handle/2066/32040,,20th century|21st century,Foreign Missions -- History -- Local|Foreign Missions -- Spirituality|Theology -- Spirituality,Asia -- Philippines,"Lonergan, Bernard J. F., 1904–1984",,With title page and summary in Dutch.,,English,CULL|REVIEW
Dissertation,"Amo Iribarren, Patxi Xabier del",2011,"Anthony Poole (c.1629–1692), the Viol and Exiled English Catholics",Leeds,University of Leeds,351,PhD diss.,,,http://etheses.whiterose.ac.uk/2402/1/del_Amo_Iribarren_PX_Music_PhD_2011.pdf,,17th century,History -- Regional|Controversies -- Protestantism,Europe -- France|Europe -- UK,"Poole, Anthony, 1629–1692","The bass violist and composer Anthony Poole was educated in the network of Catholic Colleges that the English Jesuits kept in Europe. He went on to be ordained a Jesuit priest and to make an outstanding contribution to the musical life of the institutions he lived and taught in, notably the English College at Saint-Omer, in Spanish Flanders. Poole's output will be shown to be of importance in the history of seventeenth-century instrumental music, especially in the context of the development of the sonata in England and division-viol music in Europe. His music has not been collected, catalogued or studied before, and this thesis presents it against the backdrop of several generations of English musicians who spent all or part of their working lives abroad. The significance of migrant musicians is often neglected by comparison with that of native musicians, perhaps because the latter fit our perceptions of national styles better, and this thesis goes some way towards appraising that contribution. The bass viol, or the 'Brittanica Chelys' in the words of the expatriate Latin poet Dr John Alban Gibbes, was an instrument with strong Catholic and Royalist resonances in England, and extemporising divisions on it became in post- Thirty- Y ears-War Europe a quintessentially English art, as will be shown in chapter one. Chapter two presents as full a biographical account as is possible at present, and chapter three considers all extant sources of Poole's music, exploring how his works made their way to the exiled court at Saint-Germain-en-Laye, the library of Phillip Falle, the viol-playing circle of William Noble in Oxford, and elsewhere in England. This thesis contains therefore a significant contribution to our understanding of the history of English Jesuit music, the court of James Il, and the circulation of Continental music in Restoration England. Chapter four is a stylistic discussion of the music, its influences and reception, and the appendix consists of a thematic index of Poole's works.",|Academic Department:  Music,,English,KEEP|REVIEW
Dissertation,"Anderson, Cynthia Peters",2011,"Reclaiming God's Vision for Human Life: Participation in the Life of God in the Thought of Cyril of Alexandria, Karl Barth and Hans Urs von Balthasar","Evanston, IL",Garrett-Evangelical Theological Seminary,"iv, 262",PhD diss.,,http://www.worldcat.org/oclc/795382300,,,20th century,Theology,,"von Balthasar, Hans Urs, 1905–1988",,,,English,CULL|REVIEW
Dissertation,"Angeli, Mauro",2007,La morte come conseguenza del peccato originale in alcune opere di Karl Rahner,Trent,Studio teologico accademico di Trento,,BA thesis,,http://worldcat.org/oclc/799904266,,,20th century,Theology -- Soteriology|Theology -- Theodicy,,"Rahner, Karl, 1904–1984",,"|Advisor:  Dell'Eva, Albino",,Italian,CULL|REVIEW
Dissertation,"Antonini, M. L.",2006,La questione dell’infallibilità nel pensiero di G. B. Noghera (1719–1784),Milan,Università degli Studi di Milano,182,PhD diss.,,,,,18th century,Theology -- Dogmatic|Controversies -- Papacy,Europe -- Italy,"Noghera, Giovanni Battista, 1719–1784",,,,Italian,CULL|REVIEW
Dissertation,"Arandia, Sebastian Rene",2012,Burden of the Cold War: The George H.W. Bush Administration and El Salvador,"College Station, TX",Texas A&M University,,MA thesis,,,http://hdl.handle.net/1969.1/ETD-TAMU-2010-12-8861,,20th century,Politics,North America -- El Salvador,,"At the start of the George H.W. Bush administration, American involvement in El Salvador's civil war, one of the last Cold War battlegrounds, had disappeared from the foreign policy agenda. However, two events in November 1989 shattered the bipartisan consensus on US policy toward El Salvador: the failure of the FMLN's largest military offensive of the war and the murder of six Jesuit priests, their housekeeper, and her daughter by the Salvadoran military, the FAES. Despite more than one billion dollars in US military assistance, the war had stalemated, promoting both sides to seek a negotiated political settlement mediated by the United Nations. The Jesuit murders demonstrated the failure of the policy of promoting respect for democracy and human rights and revived the debate in Congress over US aid to El Salvador. This thesis argues that the Bush administration sought to remove the burden of El Salvador from its foreign policy agenda by actively pushing for the investigation and prosecution of the Jesuit case and fully supporting the UN-mediated peace process. Using recently declassified government documents from the George Bush Presidential Library, this thesis will examine how the Bush administration fundamentally changed US policy toward El Salvador. Administration officials carried out an unprecedented campaign to pressure the FAES to investigate the Jesuit murders and bring the killers to justice while simultaneously attempting to prevent Congress from cutting American military assistance. The Bush administration changed the objective of its El Salvador policy from military victory over the guerrillas to a negotiated political settlement. The US facilitated the peace process by pressuring the Salvadoran government and the FMLN to negotiate in good faith and accept compromises. When both sides signed a comprehensive peace agreement on January 16, 1992, the burden of El Salvador was lifted.",,,English,KEEP|REVIEW
Dissertation,"Arceo, Rubén",2010,A Study of Perceived Leadership Styles of Seven Jesuit University Presidents in México,San Francisco,University of San Francisco,"xv, 366",EdD diss.,,,,,21st century,Education -- Universities -- Government|Education -- Universities -- Identity -- Leadership,North America -- Mexico,,"The education apostolate is one of major ministries of the Society of Jesus. The Mexican Province has been engaging in this work through its schools and universities. Up to this point, research has not been conducted in the United States and México in the area of presidents' leadership in higher education. There was a need to study the leadership roles and styles of the presidents of Jesuit universities in the Mexican Province and provide knowledge of best practices in this area.|The study identified the self-perceptions of seven Jesuit university presidents in México in regard to the following aspects: (1) Their leadership styles; (2) Their knowledge of the Jesuit mission of higher education; (3) The extent that their leadership styles relate to the Society of Jesus' mission in higher education; and (4) Their collaboration with others in their universities. The perceptions of the presidents and their administrative teams and faculties were compared for congruency.|The study employed mixed methodologies in two phases. The first phase used a researcher-designed survey in two versions: The Presidents' Jesuit Education and Leadership Survey and the Administration and Faculty Jesuit Education and Leadership Survey. The second phase considered a group of interviews using a standardized open-ended interview guide in two versions: The Jesuit University Presidents Interview Guide and the Jesuit Administrative and Faculty Interview Guide. The survey was administered to seven Jesuit university presidents, 210 administrators and 210 full-time and part-time faculty members. A sample of four presidents, eight senior administrators and eight faculty members was selected for face-to-face interviews in the second phase of the study.|The study found that the leadership styles vary according to the presidents' personality and approach to the institution. The results revealed that an authoritarian leadership will limit the achievement of the Jesuit mission and the university institutional goals. The findings delineated that having greater knowledge of the Jesuit mission and of presidential role, along with collaborative and delegative leadership styles, will result in better institutional outcomes. The study offered recommendations and direction to current efforts made in presidency leadership in higher education in the Mexican Province.",|Academic Department:  Leadership Studies,,English,KEEP|REVIEW
