Reference Type,Author,Year,Title,Place Published,Publisher,Volume,Number of Volumes,Number of Pages,Editor,Edition,Translator,ISBN,DOI,Reprint Edition,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book,,2010,Epistolae mixtae: Ex variis Europae locis ab anno 1537 ad 1556 scriptae,"LaVergne, TN",Kessinger,"1, 1537–1548",,642,,,,1104123363|9781104123369,,,http://worldcat.org/oclc/711000164,,,16th century,Primary Sources -- Letters|History -- First Jesuits,Europe,,,"|Original Publication:  Madrid, Excudebat Augustinus Avrial, 1898",,,,Latin,CULL|REVIEW
Book,,2010,Ejercicios espirituales: Autobiografía,Bilbao,Mensajero,,,256,,,,9788427131682,,,www.worldcat.org/oclc/776326652,,,16th century,Ignatius of Loyola -- Spirituality -- Spiritual Exercises,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book,,2010,"Crossing the Divide: Jesuits on the American Frontier; February 26–June 27, Saint Louis University Museum of Art","St. Louis, MO",Saint Louis University Museum of Art,,,22,,,,,,,http://worldcat.org/oclc/854444243,,,19th century,Foreign Missions -- Biography|Foreign Missions -- Arts,North America -- USA,"Smet, Pierre-Jean de, 1801–1873",,"Exhibit held Feb. 26–June 27, 2010.",,,,English,KEEP|REVIEW
Book,,2011,Jésuites en Afrique centrale et formation intégrale de l'homme: Actes des Journées philosophiques de Canisius,"Kinshasa, Democratic Republic of Congo","Éditions Loyola, Publications Canisius",,,207,,,,,,,http://www.worldcat.org/oclc/852763416,,,,Theology -- Pastoral|Education,Africa,,,,,,,French,CULL|REVIEW
Book,,2012,Martirio di 120 nel Giappone del 1632 e 1633.,,,,,8,,,,,,,http://www.worldcat.org/oclc/810314905,,,17th century,Foreign Missions -- Martyrdom,Asia -- Japan,,"Facsimile of a letter reporting on the deaths of 120 Catholics in Japan during the years 1632 and 1633 including 24 Jesuits, 6 Dominicans, 2 Augustinians, members of the Augustinian Recollects and others including secular Japanese.",|Type of Work:  Manuscript,,,,Italian,CULL|REVIEW
Book,,2015,"Les jésuites aujourd'hui: Depuis leur rétablissement (1814); Aller, rencontrer, servir",Paris,Éditions Facultés jésuites de Paris,,,121,,,,9782848470573,,,www.worldcat.org/oclc/908435389,,,19th century|20th century|21st century,History -- General -- Restoration|Identity|Ministries,Europe -- France|Asia -- China|Asia -- India,"Teilhard de Chardin, Pierre, 1881–1955","Ce cahier rassemble les actes de la rencontre qui s’est tenue au Centre Sèvres-Facultés jésuites de Paris les 10 et 11 octobre 2014, à l’occasion de l’anniversaire du rétablissement de la Compagnie de Jésus le 7 août 1814 par le Pape Pie VII.|Pour célébrer un tel anniversaire, le choix a été fait de parcourir l’histoire de ces événements, mais en même temps de s’appuyer sur ce qui est advenu au cours des années pour parler de la mission des jésuites aujourd’hui, au service de l’Eglise universelle et de la société: une mission enracinée dans le passé, dans la diversité de ses expressions et de ses figures, dans la fidélité aux intuitions fondatrices d’Ignace de Loyola, une mission à recevoir et à réinventer sans cesse.","vant-propos, Henri LAUX, s.j.; Suppression et rétablissement de la Compagnie de Jésus, Patrick GOUJON, s.j.; Les Jésuites en France au XIXe siècle: les paradoxes d’une histoire, Claude LANGLOIS; L’engagement social, spirituel et intellectuel des Jésuites français au XXe siècle, Philippe Lécrivain, s.j.; Les enjeux apostoliques de l’éducation jésuite. De l’art de prendre soin des|personnes et de forger une communauté d’étude, Sylvain Cariou-Charton, s.j.; Les défis missionnaires des Jésuites en Inde aujourd’hui, Michael AMALADOSS, s.j.; Teilhard de Chardin en Chine, Benoît VERMANDER, s.j.; Au cœur de l’humain, aux frontières du monde. La mission du Jésuite, hier et aujourd’hui, Pedro RUBENS, s.j.; Homélie du P. Jean-Yves Grenet, Provincial de France, lors de l’eucharistie célébrée en l’église Saint-Ignace",,,,French,CULL|REVIEW
Book,"Jesuit University of Philosophy and Education ""Ignatianum",2009,Jesuit University of Philosophy and Education 'Ignatianum' in Cracow,Kraków,Jesuit University of Philosophy and Education 'Ignatianum',,,59,,,,9788389631060|8389631067,,,http://worldcat.org/oclc/836779867,,,20th century,Education -- Universities -- History -- Local|Education -- Universities -- Curriculum,Europe -- Poland -- Kraków,,,"A publication of Wyzsza Szkola Filozoficzno-Pedagogiczna, Ignatianum.",,,,English,KEEP|REVIEW
Book,"Abanes, Menandro",2007,Measuring Volunteering in a Jesuit University in the Philippines: To Be Men and Women for Others,Munich,GRIN,,,48,,,,9783640762170|3640762177,,,http://worldcat.org/oclc/706967027,,,21st century,Foreign Missions -- Education -- Universities|Foreign Missions -- History -- Local|Foreign Missions -- Social Work|Foreign Missions -- Education -- Universities -- Identity,Asia -- Philippines,,,,,,,English,KEEP|REVIEW
Book,"Abbatucci, Jacques S.",2007,L'homme et le mystère du cosmos: Sous le regard de Teilhard de Chardin,Paris,Harmattan,,,201,,,,9782296023901|2296023908,,,http://worldcat.org/oclc/85335650,,,20th century,Theology -- Anthropology|Theology -- Cosmology,,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,French,CULL|REVIEW
Book,"Abé, Takao",2011,The Jesuit Mission to New France: A New Interpretation in the Light of the Earlier Jesuit Experience in Japan,Leiden; Boston,Brill,,,234,,,,9004192859|9789004192850|9789004209657,10.1163/ej.9789004192850.i-234,,,,,16th century|17th century,Foreign Missions -- Historiography,North America -- USA|North America -- Canada|Asia -- Japan,,"A new interpretation of the Jesuit mission to New France is here proposed by using, for comparison and contrast, the earlier Jesuit experience in Japan. In order to present revisionist perspectives of the Jesuit missions based on a broader international framework beyond North America, the existing historical paradigms of the Jesuit missionary activity to Amerindians based on the limited regional history of New France are re-examined. The time period of analysis covers one entire century, from the mid-sixteenth century to the mid-seventeenth century. The Jesuit evangelists used in this analysis include European, mainly Iberian and French, missionaries. The non-European converts dealt with in this discussion are Japanese and Amerindian peoples. The aspects considered for revisions encompass the interpretations of foreign cultures, the basic evangelistic approach of preaching, winning converts and educating them, organising Christian communities and the non-European practice of the religion. The Christian mission in Japan has proved to be a useful tool for these purposes.",,,,,English,KEEP|REVIEW
Book,"Abicht, Ludo",2008,Het lunapark en andere plekken: Autobiografisch Materiaal,Kapellen,Pelckmans,,,239,,,,9789028949126|9028949127,,,http://worldcat.org/oclc/258381664,,,20th century,Writings -- Autobiographies|Institute -- Vows|Formation -- Sources|Identity,Europe -- Netherlands,,,,,,,Dutch,CULL|REVIEW
Book,"Abraham, Susan",2007,"Identity, Ethics, and Nonviolence in Postcolonial Theory: A Rahnerian Theological Assessment",New York,Palgrave Macmillan,,,"xiv, 242",,,,9781403970701|140397070X,,,http://worldcat.org/oclc/71427512,,,20th century,Theology -- Moral|History -- Politics|Philosophy -- Ethics|Political Thought -- Nonviolence,,"Rahner, Karl, 1904–1984",,,,,,English,KEEP|REVIEW
Book,"Abram, Anna|Kirwan, Michael|Gallagher, Peter",2017,"Philosophy, Theology and the Jesuit Tradition: 'The Eye of Love'",London,Bloomsbury,,,256,,,,9780567672773,,,www.worldcat.org/oclc/952979834,,,16th century|17th century|18th century|19th century|20th century|21st century,Philosophy -- Ethics|Theology |Identity,Europe,"Ignatius, of Loyola, Saint, c.1491–1556","What does it mean to do theology and philosophy in our contemporary academia? What is the notion of good life in the 21st century university? One distinctive tradition of philosophical and theological investigation has been working since early modernity to offer answers to these questions, the Society of Jesus, founded in 1540 by Ignatius of Loyola.|The engaging and original contributions in this volume examine topics such as faith, science and reason, secularism, naturalism, humanism and Ignatian spirituality. The opening text outlines the vision of Jesuit education and is followed by historical analyses of sources such as St Ignatius of Loyola and Mary Ward, to show the relevance of these methodologies for other texts and practices. The contributions explore the relationship between philosophy and theology, challenge the dominant perspectives such as naturalism and secularisation, and propose a new way of thinking. This livelydiscussion engages with contemporary issues in the sphere of interreligious dialogue, bioethics, citizenship and human rights.",,,,,English,KEEP|REVIEW
Book,"Acosta, José de",2002,Natural and Moral History of the Indies,Durham,Duke University Press,,,568,"Mangan, Jane E.",,"Lopez-Morillas, Frances",9780822328322|9780822328452,,,,https://www.dukeupress.edu/natural-and-moral-history-of-the-indies,,16th century,Foreign Missions -- Sciences -- Natural History|Foreign Missions -- Ethnography|Foreign Missions -- Evangelization -- Strategies|Writings -- Treatises -- Editions,North America -- Panama|North America -- Mexico|South America -- Peru,"Acosta, José de, 1540–1600","The Natural and Moral History of the Indies, the classic work of New World history originally published by José de Acosta in 1590, is now available in the first new English translation to appear in several hundred years. A Spanish Jesuit, Acosta produced this account by drawing on his own observations as a missionary in Peru and Mexico, as well as from the writings of other missionaries, naturalists, and soldiers who explored the region during the sixteenth century. One of the first comprehensive investigations of the New World, Acosta’s study is strikingly broad in scope. He describes the region’s natural resources, flora and fauna, and terrain. He also writes in detail about the Amerindians and their religious and political practices.|A significant contribution to Renaissance Europe's thinking about the New World, Acosta's Natural and Moral History of the Indies reveals an effort to incorporate new information into a Christian, Renaissance worldview. He attempted to confirm for his European readers that a ""new"" continent did indeed exist and that human beings could and did live in equatorial climates. A keen observer and prescient thinker, Acosta hypothesized that Latin America's indigenous peoples migrated to the region from Asia, an idea put forth more than a century before Europeans learned of the Bering Strait. Acosta's work established a hierarchical classification of Amerindian peoples and thus contributed to what today is understood as the colonial difference in Renaissance European thinking.",,,,,English,KEEP|REVIEW
Book,"Acuña, Constanza",2012,La curiosidad infinita de Athanasius Kircher: Una lectura a sus libros encontrados en la Biblioteca Nacional de Chile,Santiago,Ocho Libros,,,208,,,,9789563351019|9563351010,,,http://www.worldcat.org/oclc/807739422,,,17th century|21st century,Biography,South America -- Chile,"Kircher, Athanasius, 1602–1680",,,,,,Spanish,CULL|REVIEW
Book,"Aczel, Amir D.",2007,"The Jesuit and the Skull: Teilhard de Chardin, Evolution, and the Search for Peking Man",New York,Riverhead Books,,,288,,,,9781594483356|1594483353,,,http://worldcat.org/oclc/152580644,,,20th century,Sciences -- Paleontography|Biography -- Intellectual,Asia -- China,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,English,KEEP|REVIEW
Book,"Aczel, Amir D.",2010,Shinpu to zugaikotsu: Pekin genjin o hakkenshita itansha to shinkaron no hatten [神父と頭蓋骨: 北京原人を発見した「異端者」と進化論の発展],Tokyo,Hayakawa Shobo,,,326,,,"Masaru, Hayashi",9784152091390|4152091398,,,http://worldcat.org/oclc/703496462,,,20th century,Philosophy -- Intercultural Dialogue,Asia -- China,"Teilhard de Chardin, Pierre, 1881–1955",,,,"林大訳, trans.",Jesuit and the Skull,Japanese,CULL|REVIEW
Book,"Adamczyk, Marek",2010,Teologia pluralizmu religijnego w ujęciu Jacques'a Dupuis i dyskusji teologów,Warsaw,Verbinum Wydawnictwo Księży Werbistów,,,262,,,,9788371923975|837192397X,,,http://worldcat.org/oclc/751545724,,,20th century|21st century,Theology -- Religious Pluralism,,"Dupuis, Jacques, 1923–2004",,,,,,Polish,CULL|REVIEW
Book,"Adams, Alison|Rawles, Stephen|Saunders, Alison",2012,"A Bibliography of Claude-François Menestrier: Printed Editions, 1655–1765",Genève,Droz,,,516,,,,9782600015264 |2600015264,,,,,,17th century|18th century,Bibliography -- Authors,Europe -- France,"Menestrier, Claude-François, 1631–1705","Claude-François Menestrier of the Society of Jesus was undoubtedly the most important and prolific seventeenth-century theoretical writer on symbolic imagery and spectacle. His treatises cover such diverse topics as ancient ballet and music, heraldry, emblematics and other cognate disciplines. He was also a skilled practitioner in devising and mounting symbolically meaningful festivities, whether religious or secular, in his native Lyons and in Paris, as well as Annecy, Chambéry, and Grenoble. The bibliography describes over 250 editions of works by, or attributed to, Menestrier, published between 1655 and 1765.","by Alison Adams, Stephen Rawles and Alison Saunders.|facsimiles, portraits ; 25 cm.|Includes indexes.|Travaux du Grand Siècle ; no 40.",,,,French,CULL|REVIEW
Book,"Aebischer, Tullio|Altamore, Aldo|Maffeo, Sabino|et al.",2012,Angelo Secchi: L'avventura scientifica del Collegio Romano,Foligno,Quater,,,326,,,,9788890605055|8890605057,,,http://www.worldcat.org/oclc/807031212,,,19th century,Sciences -- Astronomy,Europe -- Italy -- Rome,"Secchi, Angelo, 1818–1878",,,,,,Italian,CULL|REVIEW
Book,"Agnes, Luciano",2006,"Ruggero Giuseppe Boscovich: Un professore gesuita all'Università di Pavia, 1764–1768",Milan,Cisalpino,,,187,,,,9788832360509|8832360500,,,http://worldcat.org/oclc/85332680,,,18th century,Education -- Universities -- History -- Local|Education -- Universities -- Professors |Biography,Europe -- Italy -- Lombardy -- Pavia,"Boscovich, Ruggero Giuseppe, 1711–1787",,,,,,Italian,CULL|REVIEW
Book,"Agnolin, Adone",2007,Jesuítas e selvagens: A negociação da fé no encontro catequético-ritual americano-tupi (séculos XVI–XVII),São Paulo,Humanitas,,,559,,,,9788577320448|8577320448,,,http://worldcat.org/oclc/191746914,,,16th century|17th century,Foreign Missions -- Inculturation|Foreign Missions -- Ethnography|Foreign Missions -- History -- Regional,South America -- Brazil,,,,,,,Portuguese,CULL|REVIEW
Book,"Agostini, Anna|Pagnini, Maria Camilla",2013,"Atto Fabroni e il crocifisso di Sant'Ignazio: Storia, restauro e documenti",Firenze,Polistampa,,,113,,,,9788859612872|885961287X,,,http://www.worldcat.org/oclc/857811731,,,17th century,Arts -- Sculpture,Europe -- Italy -- Pistoia,,"Il volume nasce a corredo del restauro del Crocifisso ligneo realizzato da Atto Fabroni nel XVII secolo per la chiesa di Sant'Ignazio di Loyola di Pistoia. Il recupero di questo importante tassello del ricco patrimonio artistico conservato nella chiesa dei Gesuiti, offre lo spunto per un approfondimento sulla figura del nobile pistoiese autore dell'opera ed è spunto per una riflessione analitica sul ruolo, ancora da studiare, che la Compagnia di Gesù svolse in città.I contributi critici sono accompagnati da un ampio repertorio iconografico e dalla tavola genealogica della famiglia Fabroni. Testi di Anna Agostini, Giovanni Cipriani, Silvia Gregori, Maria Camilla Pagnini, Umberto Pineschi.","a cura di Anna Agostini, Maria Camilla Pagnini ; testi di Anna Agostini [and others].|illustrations (some color) ; 24 cm.|Includes bibliographical references.",,,,Italian,CULL|REVIEW
Book,"Agostini, Igor",2008,L'infinità di Dio: Il dibattito da Suárez a Caterus (1597–1641),Rome,Riuniti,,,438,,,,9788835960706|8835960703,,,http://worldcat.org/oclc/320879297,,,16th century|17th century,Theology -- Scholasticism,,"Suárez, Francisco, 1548–1617",,,,,,Italian,CULL|REVIEW
Book,"Aguerre Core, Fernando",2007,Una caída anunciada: El obispo Torre y los jesuitas del Río de la Plata (1757–1773),Montevideo,Librería Linardi y Risso,,,395,,,,9789974675032|9974675030,,,http://worldcat.org/oclc/213339360,,,18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Politics,South America -- Argentina -- Río de la Plata,"Torre, Manuel Antonio de la, 1705–1776",,,,,,Spanish,CULL|REVIEW
Book,"Aguilar, Mario I.",2014,Pope Francis: His Life and Thought,Cambridge,Lutterworth Press,,,185,,,,9780718893422|9780718842338|9780718842314,,,www.worldcat.org/oclc/879582075,,,20th century|21st century,Biography,Europe|South America -- Argentina,"Francis, Pope, 1936–","Pope Francis: His Life and Thought paints a compelling picture of a truly remarkable man, considering the evolution of his theological ideas in detail until his election as pope in 2013.|Cardinal Jorge Bergoglio was a highly unusual candidate for the papacy for two main reasons: the 'pope from far away' is the first non-European and the first former Jesuit to have been elected. Bergoglio's theological principles have been profoundly shaped by these two factors. However, the author also reveals that his thought was deeply affected by his simple Argentinean upbringing and his fearless work in the slums of Buenos Aires as a young Jesuit and later as a senior member of the Church. Bergoglio has consistently emphasised the importance of alleviating the suffering of the poor, following the teaching of Vatican II, and in keeping with his own unflinching morality.|This volume reveals Pope Francis as an exceptionally humble and altruistic man, doctrinally conservative, and engaged less in politics than in the struggle to bring the Church to the margins of society. It will be of great interest to any reader who wishes to know more about this inspiring individual.",,,,,English,KEEP|REVIEW
Book,"Aguilera González, Francisco María",2000,El concepto de teología en el Padre Francisco Suárez,Mexico City,Universidad Iberoamericana,,,124,,Reprint,,9688594172|9789688594179,,,http://worldcat.org/oclc/47687554,,,16th century|17th century,Theology -- Method|Philosophy -- Moral,Europe -- Spain,"Suárez, Francisco, 1548–1617",,"Originally published, 1947.",,,,Spanish,CULL|REVIEW
Book,"Alberti, Vittorio V.",2014,"Il papa gesuita: 'Pensiero incompleto,' libertà, laicità in papa Francesco",Milan,Mondadori università,,,"vii, 186",,,,9788861843387|8861843387,,,http://worldcat.org/oclc/934439313,,,20th century|21st century,Popes -- Biography -- Intellectual|Theology -- Laity,,"Francis, Pope, 1936–|Ignatius, of Loyola, Saint, c.1491–1556|Ricci, Matteo, 1552–1610|Martini, Carlo Maria, 1927–2012",,,,,,Italian,CULL|REVIEW
Book,"Albó, Xavier",2009,Pepe H.: José Fernández de Henestrosa desde su altiplano exterior e interior,"La Paz, Bolivia",La Compañía de Jesús: Editorial don Bosco,,,422,,,,9789995472801|9995472805,,,http://worldcat.org/oclc/768265712,,,20th century|21st century,Foreign Missions -- Biography,South America -- Bolivia,"Fernández de Henestrosa, José, 1941–2004",,,,,,Spanish,CULL|REVIEW
Book,"Albuquerque, Antonio",2010,"Diego Laínez SJ: First Biographer of Saint Ignatius of Loyola; His Life, the Biography, and Polanco's Narrative",Saint Louis,Institute of Jesuit Sources,,,"xiii, 194",,,"Montag, John F.",,,,http://worldcat.org/oclc/658877033,,,16th century,Ignatius of Loyola -- Biography|First Jesuits -- Writings,Europe,"Laínez, Diego, 1512–1565|Ignatius, of Loyola, Saint, c.1491–1556|Polanco, Juan Alfonso de, 1517–1576",,,,,,English,CULL|REVIEW
Book,"Alcina, Francisco Ignacio",2005,History of the Bisayan People in the Philippine Islands,"Manila, Philippines",University of Santo Tomás,,,,"Kobak, Cantius J.|Gutiérrez, Lucio",,"Kobak, Cantius J.|Gutiérrez, Lucio",9715063349|9789715063340|9715063381|9789715063388,,,https://www.worldcat.org/oclc/760666093,,,17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Indigenous People,Asia -- Philippines,,,"25 cm, includes bibliographical references.",,,,English,CULL|REVIEW
Book,"Aleo, Marco",2010,¿Quién es el sacerdote? El ministerio ordenado en el pensamiento de H. U. von Balthasar,Valencia,EDICEP,,,233,,,,9788499250168|8499250165,,,http://worldcat.org/oclc/833397982,,,20th century,Theology -- Sacraments -- Priesthood,,"von Balthasar, Hans Urs, 1905–1988",,,,,,Spanish,CULL|REVIEW
Book,"Alexander, Amir R.",2014,Infinitesimal: How a Dangerous Mathematical Theory Shaped the Modern World,New York,"Scientific American/Farrar, Straus and Giroux",,,352,,,,9780374176815|0374176817|9780374534998|0374534993,,,http://worldcat.org/oclc/889165086,,,16th century|17th century,Sciences -- Mathematics -- History,Europe -- Italy -- Rome|Europe -- UK -- England,"Ignatius, of Loyola, Saint, c.1491–1556","The epic battle over a mathematical concept that shook the old order and shaped the world as we know it. On August 10, 1632, five leaders of the Society of Jesus convened in a somber Roman palazzo to pass judgment on a simple idea: that a continuous line is composed of distinct and limitlessly tiny parts. The doctrine would become the foundation of calculus, but on that fateful day the judges ruled that it was forbidden. With the stroke of a pen they set off a war for the soul of the modern world. Amir Alexander's Infinitesimal is the story of the struggle that pitted Europe's entrenched powers against voices for tolerance and change. It takes us from the bloody religious strife of the sixteenth century to the battlefields of the English civil war and the fierce confrontations between leading thinkers like Galileo and Hobbes. We see how a small mathematical disagreement became a contest over the nature of the heavens and the earth: Was the world entirely known and ruled by a divinely sanctioned rationality and hierarchy? Or was it a vast and mysterious place, ripe for exploration? The legitimacy of popes and kings, as well as our modern beliefs in human liberty and progressive science, hung in the balance; the answer hinged on the infinitesimal. Pulsing with drama and excitement, Infinitesimal will forever change the way you look at a simple line--and celebrates the spirit of discovery, innovation, and intellectual achievement-- ""The epic battle over a mathematical concept that shook the old order and shaped the world as we know it""--","Paperbook edition: London, Oneworld, 2015.",,,,English,CULL|REVIEW
Book,"Alfieri, Fernanda|Ferlan, Claudio",2012,Avventure dell’obbedienza nella Compagnia di Gesù: Teorie e prassi fra XVI e XIX secolo,Bologna,Società editrice il Mulino,,,267,,,,9788815237897|8815237895,,,,,,16th century|17th century|18th century|19th century,Institute -- Vows -- Obedience,,,,"Proceedings of a seminar held in Trento, Italy, Dec. 10–11, 2009.|Includes bibliographical references and index.",,,,Italian,CULL|REVIEW
Book,"Allegra, Gabriele Maria",2011,Il primato di Cristo in San Paolo e Duns Scoto: Le mie conversazioni con Teilhard de Chardin,S. Maria degli Angeli,Porziuncola,,,103,,,,9788827009529|8827009523,,,http://www.worldcat.org/oclc/755700479,,,20th century,Theology -- Christology,,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,Italian,CULL|REVIEW
Book,"Allen, Brigid",2014,Peter Levi: Oxford Romantic,Oxford,Signal Books,,,452,,,,9781908493989,,,www.worldcat.org/oclc/884744712,,,20th century,Biography|Literature -- Poetry|History -- History of Education -- Colleges,Europe -- UK,"Levi, Peter, 1931–2000","Peter Levi (1931–2000) was one of the most romantic and complicated of twentieth-century Oxford characters. Although descended on his father’s side from Jewish carpet-merchants in Constantinople, he was brought up a Catholic and was a Jesuit from late adolescence until he left to marry at the age of 45. Part-way through his training for the priesthood, Levi joined the small Jesuit intellectual elite as an undergraduate at Campion Hall, Oxford. Already a compulsive poet, he made literary friends and experimented with hard, bright lyrics on a variety of themes. His first collection, From the Gravel Ponds, was Poetry Book Society choice for spring 1960. From then onwards he maintained an uneasy balance as a Jesuit, tolerated for his literary activities but always subject to disciplinary correction. When, in 1963, his seniors declared that he had broken so many rules that he could not be ordained that year, he persuaded them to let him visit Greece. That summer he fell in love with the country and formed lasting friendships with several Greek poets.|As classics tutor at Campion Hall from 1965 to 1977, he was an intriguing figure to many undergraduates. Intolerant of Oxford damp, he was allowed to spend winters in Greece. From 1967 onwards he passionately supported the resistance to the junta; twice banned from Greece, he later made a television documentary about the evils of the regime.|After leaving the Jesuits he wrote autobiographical works, translations, thrillers and elegiac verse, supplementing his literary earnings with casual tuition. Elected Oxford Professor of Poetry in 1984, he used his lectures to convey his enthusiasm for the work of other poets, from Shakespeare to Pasternak, Larkin, Lowell and his defeated electoral rival and former pupil James Fenton.|This deeply researched, sensitively written biography explores Levi’s many friendships, with figures such as Cyril Connolly, George Seferis, David Jones, Iris Murdoch, Patrick Leigh Fermor and Bruce Chatwin. It relates his poetic development to an intense emotional life, in which love, often concealed in landscape imagery, eventually won out against religious inhibition.",,,,,English,KEEP|REVIEW
Book,"Allen, William",2010,The History of Norridgewock: Comprising Memorials of the Aboriginal Inhabitants and Jesuit Missionaries; Hardships of the Pioneers; Biographical Notices of the Early Settlers; and Ecclesiastical Sketches,"Whitefish, MT",Kessinger,,,252,,,,1104560798|9781104560799,,,http://worldcat.org/oclc/821914725,,,17th century|18th century|19th century,Foreign Missions -- History -- Local,North America -- USA -- Maine -- Norridgewock,,,"Originally published: Norridgewock, ME: Edward J. Peet, 1849.",,,,English,KEEP|REVIEW
