Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Ashley, J. Matthew",2000,Ignacio Ellacuría and the Spiritual Exercises of Ignatius Loyola,Theological Studies,61,1,16–39,,March,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=4&sid=35208a87-1dbd-4ad7-a472-fcf382c464b7%40pdc-v-sessmgr01&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0000915661&db=rfh,,16th century|17th century|18th century|19th century|20th century,Theology -- Liberation|Ignatius of Loyola -- Spirituality|Ignatius of Loyola -- Spiritual Exercises,,"Ignatius, of Loyola, Saint, c.1491–1556|Ellacuría, Ignacio, 1930–1989","[Ellacuria's scholarly work needs to be understood against the backdrop of his commitment to Ignatian spirituality. The author demonstrates this by showing that Ellacuria considered the Spiritual Exercises as a crucial resource for doing theology in Latin America, particularly in response to various challenges articulated at the CELAM Conference in Medellin (1968). The author then argues, using Ellacuria's approach to the historical Jesus, that Ellacuria's work of elaborating a ""philosophy of historical reality"" should be understood as an attempt to craft a philosophy and theology ad- equate to the encounter with the historical Jesus as structured by the Exercises.]",,,,,English,REVIEW
Journal Article,"Arranz Roa, Íñigo|Ser Pérez, Fernando del",2000,Aproximación a las fuentes para el estudio de la provincia jesuítica de Castilla (ss. XVI–XVIII),Hispania sacra,52,105,73–98,,,0018-215X|1988-4265,,,http://search.proquest.com/openview/d3d52210430742048e9419dd06224a11/1?pq-origsite=gscholar&cbl=1818033,,16th century|17th century|18th century,Historiography -- Regional -- Primary Sources,Europe -- Spain -- Castile,,,,,,,Spanish,REVIEW
Journal Article,"Wicks, Jared",2001,Pieter Smulders and Dei Verbum: 2. On De fontibus revelationis during Vatican II's First Period,Gregorianum,82,3,559–583,,,0017-4114,,,http://www.jstor.org/stable/23581286,,20th century,History -- Councils -- Vatican II,Asia -- Indonesia|Europe -- Vatican City,,,,,,,German,REVIEW
Journal Article,"Wicks, Jared",2001,Pieter Smulders and Dei Verbum: 1. A Consultation on the Eve of Vatican II,Gregorianum,82,2,241–297,,,0017-4114,,,http://www.jstor.org/stable/23580845,,20th century,History -- Councils -- Vatican II|Theology -- Dogmatic,Europe -- Netherlands|Europe -- Vatican City,,,,,,,German,REVIEW
Journal Article,"Weinandy, Thomas",2001,The Symbolic Theology of Roger Haight,The Thomist,65,1,121–136,,January,0040-6325,https://doi.org/10.1353/tho.2001.0018,,https://muse-jhu-edu.avoserv2.library.fordham.edu/article/636821/pdf,,20th century|21st century,Theology -- Method|Theology -- Hermeneutics -- Symbols,,"Haight, Roger, 1936–",,,,,,English,REVIEW
Journal Article,"Schubeck, Thomas Louis",2001,Salvadoran Martyrs: A Love That Does Justice,Horizons,28,1,7–29,,Spring,0360-9669,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=14&sid=aedbd708-e878-437e-a2ea-dbadabd6978f%40sessionmgr120&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001276272&db=rfh,,20th century,Theology -- Liberation|Foreign Missions -- Martyrdom|Foreign Missions -- History -- Regional|Foreign Missions -- Politics,North America -- El Salvador -- San Salvador,"Ellacuría, Ignacio, 1930–1989|Martín-Baró, Ignacio, 1942–1989|Montes, Segundo, 1933–1989|Moreno, Juan Ramón, 1933–1989|López, Armando, 1936–1989|López y López, Joaquín, 1918–1989","Who are today's martyrs? Many Salvadorans call Archbishop Rom- ero and the Jesuits and the two women killed at Central American University martyrs. Should they be numbered among the martyrs of the church? The author contends that it would be fitting for the Catholic Church to do so, based on the contemporary church teach- ing on martyrdom. Tracing the origin and development of the notion of Christian martyrdom from the New Testament to the present day, the author shows how Thomas Aquinas, the Second Vatican Coun- cil, Karl Rahner, and Pope John Paul II have contributed to the enlargement of the concept of the Christian martyr that fittingly describes the Salvadoran witnesses. Moved by love of God and neighbor, the martyr courageously endures death for bearing wit- ness to the Christian faith that includes speaking the truth and doing justice.",,,,,English,KEEP
Journal Article,"Rixon, Gordon",2001,Bernard Lonergan and Mysticism,Theological Studies,62,3,479–497,,September,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=d460ae8c-cbf5-48d0-8656-e9c8ebf52469%40sessionmgr104&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0000023746&db=rfh,,20th century,Spirituality -- Mysticism|Theology -- Spirituality|Philosophy -- Theory of Knowledge,,"Lonergan, Bernard J. F., 1904–1984|Rahner, Karl, 1904–1984|Egan Harvey, 1937– |Johnston, William, 1925–2010","The author assembles and interprets archival materials, advancing a preliminary assessment of the significance of mysticism for the development of Lonergan's intellectual project Lonergan assigns priority to a mysticism of transforming union as the existential prin- ciple from which flow charitable service and theological reflection The density of Lonergan's published account of religious experience is relieved by an exploration of its relation to the thought of Karl Rahner, Harvey Egan, and William Johnston A suggestion is made about the continued importance of systematic reflection for the re- fined articulation of religious experience ]",,,,,English,REVIEW
Journal Article,"Remmert, Volker R.",2001,"'Sonne steh still über Gibeon': Galileo Galilei, Christoph Clavius, katholische Bibelexegese und die Mahnung der Bilder",Zeitschrift für historische Forschung,28,4,539–580,,,0340-0174,,,,,16th century,Controversies -- Scientific Revolution|Philosophy -- Natural Philosophy|Sciences -- Astronomy|Controversies -- Galileo Galilei|Theology -- Cosmology,Europe -- Italy,"Clavius, Christoph, 1538–1612",,,,,,German,REVIEW
Journal Article,"Moloney, Raymond",2001,Lonergan on Eucharistic sacrifice,Theological Studies,62,1,53–70,,March,0040-5639,,,http://eds.a.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=e35a8e46-a927-4f10-8133-3e6c96889114%40sessionmgr4010&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0000026547&db=rfh,,20th century,Theology -- Sacraments -- Eucharist|Biography -- Intellectual,,"Lonergan, Bernard J. F., 1904–1984","Lonergan 's formal treatment of the theology of the Eucharist was confined to some early studies. The author of this article here applies principles drawn from Loner gan's mature writings to the relation- ship between the Eucharist and the sacrifice of the cross. In particu- lar, Loner gan's theology of grace is found to shed light on problems associated with the eucharistie theories of Anscar Vonier. Loner- gan 's view of theological method is also judged to be relevant to contemporary discussion of the lex orandu",,,,,English,REVIEW
Journal Article,"Mayeski, Marie Anne",2001,Catholic Theology and the History of Exegesis,Theological Studies,62,1,140–153,,March,0040-5639,,,http://eds.a.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=4&sid=e35a8e46-a927-4f10-8133-3e6c96889114%40sessionmgr4010&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0000026584&db=rfh,,20th century,Theology -- Exegesis|Theology -- History,,"de Lubac, Henri, 1896–1991 |Daniélou, Jean, 1905–1974","The author argues that it is important for systematic theologians to join the conversation between exegetes and those who investigate the history of exegesis. To demonstrate what might be gained from such an intersection of disciplines, she explores the work of some ressou- rcement theologians such as de Lubac, Daniélou, Bouyer, and others, all of whom discussed the allegorical and typological exegesis of the Church Fathers and attempted to bring it into harmony with the historical-critical interpretation of the Bible.]",,,,,English,REVIEW
Journal Article,"Masson, Robert L.",2001,Analogy and Metaphoric Process,Theological Studies,62,3,571–596,,September,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=4&sid=d460ae8c-cbf5-48d0-8656-e9c8ebf52469%40sessionmgr104&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0000023754&db=rfh,,20th century,Theology -- Method|Theology -- Systematic,,"Bracken, Joseph A., 1930–",[The author argues that the dispute between Elizabeth Johnson and Joseph Bracken about the doctrine of God is rooted in a disagree- ment about how we know and speak of God. The difference is characterized as a choice between one view that sees theology's task as finding appropriate analogies for conceiving God and another view governed by the assumption that a more fundamental meta- phoric shift in thinking and speaking is required. This article clari- fies what is at issue by analyzing other conceptions of analogy in the light of a specific theory of metaphoric process.,,,,,English,REVIEW
Journal Article,"Logan, Ian",2001,Newman and Rahner on the Way to Faith—and Wittgenstein Came Too!,New Blackfriars,82,970,579–590,,December,0028-4289,10.1111/j.1741-2005.2001.tb01788.x,,http://onlinelibrary.wiley.com.avoserv2.library.fordham.edu/doi/10.1111/j.1741-2005.2001.tb01788.x/full,,20th century,Philosophy -- Language|Theology -- Anthropology,,"Rahner, Karl, 1904–1984",,,,,,English,KEEP
Journal Article,"Levering, Matthew",2001,Balthasar on Christ’s Consciousness on the Cross,The Thomist,65,4,567–581,,October,0040-6325,https://doi.org/10.1353/tho.2001.0038,,https://muse-jhu-edu.avoserv2.library.fordham.edu/article/636841/pdf,,20th century,Theology -- Christology|Theology -- Scripture -- New Testament,,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,REVIEW
Journal Article,"Latzer, Michael J.",2001,The Marcel–Teilhard Debate,New Blackfriars,82,961,132–137,,March,0028-4289,10.1111/j.1741-2005.2001.tb01747.x,,http://onlinelibrary.wiley.com.avoserv2.library.fordham.edu/doi/10.1111/j.1741-2005.2001.tb01747.x/abstract,,20th century,Theology|Philosophy -- Religion|Biography -- Intellectual,Europe -- France -- Paris,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,English,REVIEW
Journal Article,"Hughes, Kevin L.",2001,"The ‘Fourfold Sense’: de Lubac, Blondel and Contemporary Theology",The Heythrop Journal,42,4,451–462,,October,0018-1196,10.1111/1468-2265.00173,,http://onlinelibrary.wiley.com.avoserv2.library.fordham.edu/doi/10.1111/1468-2265.00173/full,,20th century,Theology -- Scripture -- Hermeneutics|Theology -- Method|Theology -- Movements -- Nouvelle théologie,,"de Lubac, Henri, 1896–1991","Henri de Lubac's contribution to Catholic theology is well-known. But the work of the latter part of his career on medieval exegesis has received less scholarly acclaim. Historians of exegesis find it apologetic and too theological, and thus unhelpful in their field, while most theologians, with a few exceptions, have seemed to find it too historical for their work. This article argues that de Lubac's Medieval Exegesis is an exercise in theology, but specifically a tradition-oriented historical theology. Drawing upon Maurice Blondel's philosophical definition of tradition, de Lubac aims to describe the ‘fourfold sense’ as a tradition, a theological mentalité, often implicit, that suffuses ancient and medieval Christian theology. It is the author' hope that the recognition of the proper genre and aim of de Lubac's magnum opus et arduum is the catalyst for further, properly theological, reflection upon its claims about scripture and tradition.",,,,,English,REVIEW
Journal Article,"Hill, Brennan",2001,Teilhard's Vision and the Environment,Horizons,28,1,50–67,,Spring,0360-9669,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=15&sid=aedbd708-e878-437e-a2ea-dbadabd6978f%40sessionmgr120&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001276277&db=rfh,,20th century,Theology -- Cosmology|Theology -- Science|Philosophy -- Evolutionism|Biography,,"Teilhard de Chardin, Pierre, 1881–1955","Pierre Teilhard de Chardin was a pioneer in integrating modern science and Christian theology. He was also a mystic who through out his life and writings attempted to share the ways in which the divine was the source, power and goal of all creation and to point out how spirit glowed within all of matter. Teilhard's vision of the earth can be most helpful today as we attempt to restore and sustain our environment. In this article I will explore Teilhard's deep rev erence for the cosmos and humanity, as well as his views on how God's power works through Christ and the church. Along the way I will suggest how this vision might be linked to our contemporary concerns for our environment. I will close with some recommenda tions for updating Teilhard's vision so that it might better serve our present day needs.",,,,,English,REVIEW
Journal Article,"Garcia, Mário",2001,"A influência de C. G. Jung no pensamento estético-literário do Padre João Mendes, SJ",Brotéria: Cristianismo e cultura,171,6,473–483,,December,0870-7618,,,http://www.broteria.pt/?detail=1&books_id=761,,20th century,Literature -- Literary Criticism|Literature -- Aesthetics,Europe -- Portugal,"Mendes, João, 1910–1972","Ao interpretar a Literatura, sobretudo a partir do Imaginário, o Prof. João Mendes, SJ (1910–1972) naturalmente privilegiou a extraordinária aportação de C. G. Jung e seus discípulos, para um conhecimento mais profundo da psique humana. O artigo pretende determinar os aspectos fecundos dessa ""aproximação crítica"" e o enlace da psicologia analítica, nomeadamente as noções de Inconsciente Colectivo, Arquétipo e Símbolo, com a ""significação"" da arte da palavra. É enriquecido com referências às notas de leitura do Prof. João Mendes, que constam do seu arquivo pessoal inédito"".",,,,,Portuguese,REVIEW
Journal Article,"Eilers, Franz-Josef",2001,Missionarische Kommunikation ins Dritte Jahrtausend,Communicatio Socialis,34,4,421–437,,,0010-3497|2198-3852,,,http://ejournal.communicatio-socialis.de/index.php/cc/article/view/763,,20th century,Theology -- Missiology|Theology -- Ecclesiology,,"Dulles, Avery, 1918–2008","Alles Gerede und alle Sorgen vor dem Beginn des Jahres 2000 mit ,Computerbug' und apokalyptischen Voraussagen sind inzwischen Geschichte. Wir haben uns schon an die Jahreszahl 2001 gewöhnt und unser Leben hat sich offensichtlich doch nicht so sehr verändert. Das Dritte Jahrtausend hat endgültig begonnen und die Aufgaben und Verpflichtungen als Christen sind die gleichen, auch wenn das neue Jahrtausend sie uns noch dringlicher erscheinen lässt. Dies gilt besonders für die missionarische Kommunikation, die nicht nur verstärkt, sondern wohl auch neu durchdacht werden muss.||Theological Remarks for a Definition Missionary Communication starts from a spiritual foundation which is outlined in Pope John Paul II's ""Novo Millennio !neunte"" as originating from faith, based on holiness, prayer, grace and a living faith community. The reason for missionary communication is not just the availability of modern means. Missionary communication rather is based on a theology which sees God as a communicating God already in the Trinity itself but also in Revelation and especially in the incarnation of Jesus Christ. This divine communication has to be continued by the Church into the here and now of every time and place. Based on Vatican II Avery Dulles sees five models of a communicating church: institutional/hierarchical, herald, sacramental, community, secular-dialogic. For the practice of missionary communication the means of evangelizing as outlined by Pope Paul VI in ""Evengalii Nuntiandi"" (40–48) arestill relevant today but have to be complemented by the challenges of new technology creating a ,new culture' as described by John Paul II in bis ,Redemptoris Missio' (No. 37c).",,,,,German,REVIEW
Journal Article,"Bubík, Tomáš",2001,Reformní snahy jansenismu a jejich vliv na osobnost hraběte Františka Antonína Šporka,Scientific Papers of the University of Pardubice,,7,171–77,,,1211-6629,,,http://hdl.handle.net/10195/32511,,17th century|18th century,Controversies -- Jansenism|History -- Regional|Biography|Theology|Philosophy,Europe -- Czech Republic -- Bohemia,,"The first part of the paper focuses mainly on the philosophical and theological analysis of the thoughts of Cornelius Jansen, the founder of the Jansenism movement. The analysis does not leave aside also the main Jansenists' argument against the contemporary moral laxism, based on the theological probabilism, supported by the Jesuits. The paper then discusses the influence of Jansenism, especially in Bohemia, in order to point out how important this influence could have been for the formation of the personality of Earl Frantisek Spork.",,,,,Czech,REVIEW
Journal Article,"Beebee, Thomas O.",2001,They Built Millenium: Jesuits and Guaranís 1610–1768,Zeitsprünge: Forschungen zur Frühen Neuzeit,5,3–4,311–329,,,1431-7451,,,,,17th century|18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Reductions|Foreign Missions -- Indigenous People,South America -- Paraguay |South America -- Brazil|South America -- Uruguay|South America -- Argentina,,,,,,,English,KEEP
Journal Article,"Yamada, Hiroaki [山田, 弘明]",2002,ラフレーシュ学院の挑戦 ―17世紀フランスのコレージュ― [A Challenge of the Collège of La Flèche: A Collège in Seventeenth Century France],Nagoya Journal of Higher Education [名古屋高等教育研究],2,2,79–92,,,1348-2459,,,http://hdl.handle.net/2237/11071,,17th century|18th century,Education -- Colleges -- History -- Local,Europe -- France -- La Flèche,,"It is sometimes said that the Collèges founded by the Jesuit Party had a great success in 17th & 18th century Europe. This article is to describe the educational system, using the Collège of La Flèche in France as an example, and to evaluate it with respect to modern Japanese university management.The Collège was known as a free school which gave an equal education. The curriculum was constructed not only on the Aristotelian scholasticism, but also on the Renaissance humanism. The professors had a passion for a new way of teaching; an organic system of lectio(lecture), repetitio (repetition) & disputatio(debate). Japanese universities in the 21st century could learn much from this school, such as liberal arts education based on the classics.||イエズス会の学校（コレージュ）が、17～18世紀のヨーロッパの教育において大きな成果をあげたことは周知のことである。本稿では、フランスのラフレーシュ学院（1604年設立）を例に、どういう教育システムの下で何が教えられたか、その特徴は何であったか、日本の大学はそこから何を学びうるかを検討した。その結果、無償教育・平等教育の大原則のほかに、斬新で進歩的なカリキュラム設定、緻密で合理的な教授法の工夫、衛生思想の徹底など、当時としては革命的な学校経営がなされていたことが判明した。そこから日本の大学が学ぶべき点としては、古典による教養教育の充実、競争原理によるクラス運営、ディベートによる授業の活性化などがありうると思われる。",,,,A Challenge of the Collège of La Flèche—A Collège in Seventeenth Century France,Japanese,REVIEW
Journal Article,"Yaghjian, Lucretia B",2002,"Flannery O'Connor's Use of Symbol, Roger Haight's Christology, and the Religious Writer",Theological Studies,63,2,268–301,,June,0040-5639,,,http://eds.a.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=8a949d2d-336e-4331-a48b-6f60a79c5520%40sessionmgr4008&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001289931&db=rfh,,20th century,Theology -- Christology|Theology -- Writings|Biography -- Intellectual|Theology -- Method -- Symbols,North America -- USA,"Haight, Roger, 1936–","The author argues that Flannery O'Connor's fiction and critical prose are informed by a theological understanding of symbol, a narrative Christology from below, and a consciousness of her task as a religious writer of modernity This places her work in mutually constructive conversation with the writing of postmodern Christol ogy, represented, for instance, by Roger Haight's Jesus Symbol of God]",,,,,English,REVIEW
